base_bid,impressions,cost,clicks,ctr,cpc,CPM
30.5,58162,1228.117,31,0.000532994,39.61667742,21.11545339
30.6,58335,1233.747,31,0.000531413,39.79829032,21.1493443
30.7,58553,1239.603,31,0.000529435,39.98719355,21.17061466
30.8,58698,1244.833,31,0.000528127,40.15590323,21.20741763
30.9,59215,1260.356,31,0.000523516,40.65664516,21.28440429
31,59389,1266.823,31,0.000521982,40.86525806,21.33093671
31.1,59623,1273.961,31,0.000519934,41.09551613,21.36693893
31.2,59869,1281.42,31,0.000517797,41.33612903,21.40373148
31.3,60021,1287.429,31,0.000516486,41.52996774,21.44964263
31.4,60145,1292.324,31,0.000515421,41.68787097,21.48680688
31.5,60281,1296.799,31,0.000514258,41.83222581,21.51256615
31.6,60436,1301.575,31,0.000512939,41.98629032,21.53641869
31.7,60601,1306.896,31,0.000511543,42.15793548,21.56558473
31.8,60786,1313.003,31,0.000509986,42.35493548,21.60041786
31.9,60932,1317.576,31,0.000508764,42.50245161,21.62371168
32,61044,1321.467,31,0.00050783,42.62796774,21.64777865
32.1,61208,1327.606,32,0.000522807,41.4876875,21.69007319
32.2,61404,1333.885,32,0.000521139,41.68390625,21.72309622
32.3,61602,1341.539,32,0.000519464,41.92309375,21.77752346
32.4,61865,1351.138,32,0.000517255,42.2230625,21.84010345
32.5,62036,1356.654,33,0.000531949,41.11072727,21.86881811
32.6,62210,1363.165,33,0.000530461,41.3080303,21.91231313
32.7,62386,1369.175,33,0.000528965,41.49015152,21.94683102
32.8,62590,1377.597,33,0.000527241,41.74536364,22.0098578
32.9,62850,1386.361,34,0.000540971,40.77532353,22.0582498
33,63013,1392.693,35,0.000555441,39.79122857,22.10167743
33.1,63191,1398.197,35,0.000553876,39.94848571,22.12652118
33.2,63313,1402.447,35,0.000552809,40.06991429,22.15101164
33.3,63471,1407.523,35,0.000551433,40.21494286,22.17584409
33.4,63640,1413.071,35,0.000549969,40.37345714,22.20413262
33.5,63787,1418.392,35,0.000548701,40.52548571,22.23638045
33.6,64140,1430.183,35,0.000545681,40.86237143,22.29783287
33.7,64269,1435.033,35,0.000544586,41.00094286,22.32854098
33.8,64453,1441.19,35,0.000543031,41.17685714,22.36032458
33.9,64697,1449.635,36,0.00055644,40.26763889,22.4065258
34,65020,1462.811,36,0.000553676,40.63363889,22.4978622
34.1,65178,1467.9,36,0.000552334,40.775,22.52140293
34.2,65388,1475.828,36,0.00055056,40.99522222,22.57031871
34.3,65549,1481.263,36,0.000549207,41.14619444,22.59779707
34.4,65716,1487.378,36,0.000547812,41.31605556,22.63342261
34.5,65832,1492.107,37,0.000562037,40.32721622,22.6653755
34.6,65965,1497.352,37,0.000560904,40.46897297,22.69918896
34.7,66120,1502.569,37,0.000559589,40.60997297,22.72487901
34.8,66288,1508.605,37,0.00055817,40.77310811,22.75834238
34.9,66431,1514.246,37,0.000556969,40.92556757,22.79426774
35,66569,1519.659,37,0.000555814,41.07186486,22.8283285
35.1,66734,1526.33,37,0.00055444,41.25216216,22.87184943
35.2,66928,1534.737,37,0.000552833,41.47937838,22.93116483
35.3,67157,1544.927,37,0.000550948,41.75478378,23.00470539
35.4,67328,1551.422,37,0.000549548,41.93032432,23.04274596
35.5,67555,1560.189,37,0.000547702,42.16727027,23.09509289
35.6,67858,1571.348,38,0.000559993,41.35126316,23.15641487
35.7,68057,1578.251,38,0.000558355,41.53292105,23.19013474
35.8,68278,1586.353,38,0.000556548,41.74613158,23.23373561
35.9,68430,1591.076,38,0.000555312,41.87042105,23.25114716
36,68642,1599.235,39,0.000568165,41.00602564,23.29819935
36.1,68818,1606.23,39,0.000566712,41.18538462,23.34025982
36.2,68995,1612.977,40,0.000579752,40.324425,23.37817233
36.3,69412,1627.098,41,0.000590676,39.68531707,23.44116291
36.4,69538,1632.311,41,0.000589606,39.81246341,23.47365469
36.5,69730,1639.15,41,0.000587982,39.97926829,23.50709881
36.6,69839,1643.022,41,0.000587065,40.07370732,23.52585232
36.7,70047,1651.811,41,0.000585321,40.28807317,23.58146673
36.8,70261,1660.855,41,0.000583539,40.50865854,23.63836268
36.9,70573,1674.47,41,0.000580959,40.84073171,23.72677936
37,70789,1682.627,41,0.000579186,41.03968293,23.7696111
37.1,70968,1688.848,41,0.000577725,41.19141463,23.7973171
37.2,71128,1694.554,41,0.000576426,41.33058537,23.82400742
37.3,71228,1698.02,41,0.000575616,41.41512195,23.83922053
37.4,71438,1703.862,41,0.000573924,41.55760976,23.85091968
37.5,71543,1708.566,41,0.000573082,41.67234146,23.88166557
37.6,71657,1712.865,41,0.00057217,41.77719512,23.90366608
37.7,72134,1729.66,41,0.000568387,42.18682927,23.97842903
37.8,72265,1734.018,41,0.000567356,42.29312195,23.99526742
37.9,72425,1740.8,41,0.000566103,42.45853659,24.03589921
38,72620,1748.345,41,0.000564583,42.64256098,24.07525475
38.1,72879,1758.239,41,0.000562576,42.88387805,24.12545452
38.2,73054,1765.388,41,0.000561229,43.0582439,24.1655214
38.3,73243,1773.621,41,0.00055978,43.25904878,24.21557009
