base_bid,impressions,cost,clicks,ctr,cpc
7.7,152028,6444.083,102,0.000670929039387481,63.1772843137255
7.8,153113,6524.359,103,0.000672705779391691,63.3432912621359
7.9,157650,6845.315,105,0.000666032350142721,65.1934761904762
8,162746,7216.242,107,0.000657466235729296,67.4415140186916
8.1,163757,7286.755,108,0.00065951379177684,67.4699537037037
8.2,165945,7433.351,108,0.00065081804212239,68.8273240740741
8.3,169201,7681.008,115,0.000679665013800155,66.7913739130435
8.4,170855,7809.867,116,0.000678938280998507,67.3264396551724
8.5,172029,7890.253,116,0.00067430491370641,68.0194224137931
8.6,173551,7993.732,117,0.000674153418879753,68.3224957264957
8.7,177428,8286.795,118,0.000665058502603873,70.2270762711864
8.8,178202,8341.034,118,0.000662169897083085,70.6867288135593
8.9,179337,8414.394,119,0.000663555206120321,70.7091932773109
9,180587,8512.2,120,0.000664499659443925,70.935
9.1,181445,8573.63,120,0.000661357436137673,71.4469166666667
9.2,182506,8645.431,120,0.000657512629721763,72.0452583333333
9.3,184018,8754.999,121,0.000657544370659392,72.3553636363636
9.4,184675,8805.823,121,0.000655205090023013,72.7753966942149
9.5,185857,8897.147,121,0.000651038163749549,73.5301404958678
9.6,187071,8990.868,121,0.0006468132420311,74.304694214876
9.7,188083,9064.369,121,0.000643332996602564,74.9121404958678
9.8,188774,9115.607,122,0.000646275440473794,74.7180901639344
9.9,189696,9190.788,123,0.000648405870445344,74.7218536585366
10,190613,9267.403,123,0.000645286522954888,75.3447398373984
10.1,192077,9378.602,126,0.000655986921911525,74.4333492063492
10.2,192905,9446.963,128,0.000663539047717789,73.8043984375
10.3,193740,9515.353,129,0.000665840817590585,73.7624263565891
10.4,194730,9587.732,129,0.000662455707903251,74.323503875969
10.5,195643,9650.857,130,0.000664475600967068,74.2373615384615
10.6,196576,9728.244,132,0.000671496011720658,73.6988181818182
10.7,197475,9811.2,132,0.000668439042916825,74.3272727272727
10.8,198117,9867.057,132,0.000666272959917624,74.7504318181818
10.9,199148,9951.66,134,0.000672866410910479,74.2661194029851
11,199812,10006.091,136,0.000680639801413329,73.5741985294118
11.1,200711,10087.348,139,0.000692538027312903,72.5708489208633
11.2,201492,10156.354,139,0.000689853691461696,73.0672949640288
11.3,202236,10224.763,140,0.000692260527304733,73.0340214285714
11.4,202948,10289.475,140,0.000689831878116562,73.49625
11.5,203739,10352.981,141,0.000692061902728491,73.4253971631206
11.6,204392,10411.512,142,0.000694743434185291,73.3205070422535
11.7,205293,10498.268,145,0.000706307570155826,72.4018482758621
11.8,205955,10554.924,145,0.000704037289699206,72.7925793103448
11.9,206693,10626.388,146,0.000706361608762754,72.7834794520548
12,207628,10706.405,146,0.000703180688539118,73.3315410958904
12.1,208215,10759.619,146,0.000701198280623394,73.6960205479452
12.2,208866,10816.241,147,0.000703800522823246,73.5798707482993
12.3,209843,10902.059,147,0.000700523724880029,74.1636666666667
12.4,210466,10961.066,147,0.000698450105955356,74.565074829932
12.5,211151,11029.501,147,0.000696184247292222,75.0306190476191
12.6,211983,11109.71,148,0.000698169192812631,75.0656081081081
12.7,212482,11157.355,148,0.000696529588388664,75.3875337837838
12.8,213467,11245.496,149,0.000698000159275204,75.4731275167785
12.9,214034,11299.185,149,0.000696151078800564,75.8334563758389
13,214630,11354.663,150,0.000698877137399245,75.6977533333333
13.1,215202,11409.458,152,0.000706313138353733,75.0622236842105
13.2,215975,11488.533,154,0.000713045491376317,74.6008636363636
13.3,216587,11552.617,156,0.000720264835839639,74.0552371794872
13.4,217180,11608.544,156,0.000718298185836633,74.4137435897436
13.5,217883,11689.592,157,0.00072057021428932,74.456
13.6,218478,11750.531,158,0.0007231849431064,74.3704493670886
13.7,218959,11797.765,159,0.000726163345649185,74.1997798742138
13.8,219812,11900.456,160,0.000727894746419668,74.37785
13.9,220339,11951.179,161,0.000730692251485211,74.2309254658385
14,221576,12063.965,162,0.000731126114741669,74.4689197530864
14.1,222516,12165.256,166,0.000746013769796329,73.2846746987952
14.2,222937,12213.273,167,0.000749090550245137,73.133371257485
14.3,223371,12264.9,167,0.000747635100348747,73.4425149700599
14.4,223992,12324.163,167,0.000745562341512197,73.7973832335329
14.5,224644,12396.264,167,0.000743398443759905,74.229125748503
14.6,225526,12501.163,168,0.000744925197094792,74.4116845238095
14.7,226181,12567.889,168,0.000742767960173489,74.8088630952381
14.8,226778,12636.132,168,0.000740812600869573,75.2150714285714
14.9,227270,12693.955,168,0.000739208870506446,75.559255952381
15,227733,12745.224,169,0.000742097104943069,75.4155266272189
15.1,228297,12804.38,169,0.000740263779199902,75.7655621301775
15.2,228727,12852.068,170,0.000743244129464383,75.6004
15.3,229976,12963.678,170,0.000739207569485512,76.2569294117647
