base_bid,impressions,cost,clicks,ctr,cpc
21.6,38079,668.608,19,0.000498962682843562,35.1898947368421
21.7,38334,674.869,20,0.000521730056868576,33.74345
21.8,38703,683.72,20,0.000516755807043382,34.186
21.9,39181,694.439,20,0.00051045149434675,34.72195
22,39475,702.221,21,0.000531982267257758,33.4390952380952
22.1,39662,707.442,21,0.000529474055771267,33.6877142857143
22.2,39861,713.294,21,0.000526830736810416,33.966380952381
22.3,40079,718.656,22,0.000548915891115048,32.6661818181818
22.4,40331,724.864,22,0.000545486102501798,32.9483636363636
22.5,40546,730.205,23,0.000567256942731712,31.7480434782609
22.6,40809,737.186,23,0.00056360116640937,32.0515652173913
22.7,41103,745.24,23,0.0005595698610807,32.4017391304348
22.8,41435,753.458,23,0.000555086279715217,32.7590434782609
22.9,41809,761.896,23,0.000550120787390275,33.1259130434783
23,42087,768.853,23,0.000546487038753059,33.4283913043478
23.1,42255,773.685,23,0.000544314282333452,33.6384782608696
23.2,42419,778.103,23,0.000542209858789693,33.8305652173913
23.3,42675,783.948,23,0.000538957234915056,34.0846956521739
23.4,42888,789.845,23,0.000536280544674501,34.3410869565217
23.5,43199,797.789,23,0.000532419731938239,34.6864782608696
23.6,43424,804.043,23,0.000529661016949153,34.9583913043478
23.7,43864,814.514,23,0.00052434798467992,35.413652173913
23.8,44194,823.08,23,0.000520432637914649,35.7860869565217
23.9,44460,830.941,23,0.00051731893837157,36.1278695652174
24,44618,835.746,24,0.00053789950244296,34.82275
24.1,44918,844.063,24,0.000534306959348146,35.1692916666667
24.2,45233,851.451,24,0.000530586076537042,35.477125
24.3,45611,861.155,24,0.000526188857950933,35.8814583333333
24.4,45797,865.957,24,0.000524051793785619,36.0815416666667
24.5,46249,876.704,24,0.000518930139030033,36.5293333333333
24.6,46538,884.367,24,0.000515707593794319,36.848625
24.7,46782,890.428,24,0.000513017827369501,37.1011666666667
24.8,46972,895.615,24,0.000510942689261688,37.3172916666667
24.9,47172,901.186,25,0.000529975409141016,36.04744
25,47351,906.369,25,0.000527971954129797,36.25476
25.1,47521,911.418,25,0.000526083205319753,36.45672
25.2,47650,915.719,25,0.000524658971668416,36.62876
25.3,47821,921.596,26,0.000543694192927793,35.446
25.4,48094,928.817,26,0.000540607976046908,35.7237307692308
25.5,48286,933.748,27,0.000559168288945036,34.5832592592593
25.6,48514,939.343,28,0.000577152986766706,33.5479642857143
25.7,48762,945.946,28,0.000574217628481194,33.7837857142857
25.8,49029,953.941,28,0.000571090579045055,34.0693214285714
25.9,49290,962.297,29,0.000588354635828768,33.1826551724138
26,49515,968.901,29,0.000585681106735333,33.4103793103448
26.1,49786,975.393,29,0.00058249307034106,33.6342413793103
26.2,50066,982.254,29,0.000579235409259777,33.8708275862069
26.3,50258,987.462,29,0.000577022563571969,34.0504137931034
26.4,50466,992.404,29,0.000574644314984346,34.2208275862069
26.5,50620,996.973,29,0.000572896088502568,34.3783793103448
26.6,50819,1003.017,29,0.000570652708632598,34.5867931034483
26.7,51152,1012.631,29,0.000566937754144511,34.9183103448276
26.8,51369,1018.416,29,0.00056454281765267,35.1177931034483
26.9,51572,1025.198,29,0.000562320639106492,35.3516551724138
27,51723,1030.293,29,0.000560679001604702,35.5273448275862
27.1,51816,1033.487,29,0.000559672687972827,35.6374827586207
27.2,51966,1038.029,29,0.000558057191240426,35.7941034482759
27.3,52161,1042.752,29,0.000555970936140028,35.9569655172414
27.4,52385,1050.414,29,0.000553593585950177,36.2211724137931
27.5,52636,1057.04,29,0.000550953719887529,36.4496551724138
27.6,52816,1061.632,29,0.000549076037564374,36.608
27.7,53022,1066.627,29,0.000546942778469315,36.7802413793103
27.8,53263,1073.832,29,0.000544468017197679,37.0286896551724
27.9,53536,1080.972,29,0.0005416915720263,37.2748965517241
28,53703,1085.649,29,0.000540007075954788,37.4361724137931
28.1,53910,1092.517,29,0.000537933593025413,37.673
28.2,54035,1096.594,29,0.000536689182936985,37.8135862068966
28.3,54151,1100.83,29,0.000535539509889014,37.9596551724138
28.4,54302,1104.885,29,0.000534050311222423,38.0994827586207
28.5,54442,1109.808,30,0.000551045148965872,36.9936
28.6,54631,1116.161,30,0.000549138767366514,37.2053666666667
28.7,54890,1122.625,30,0.000546547640736018,37.4208333333333
28.8,55016,1126.298,30,0.000545295913915952,37.5432666666667
28.9,55162,1131.664,30,0.0005438526521881,37.7221333333333
29,55291,1136.355,30,0.000542583783979309,37.8785
29.1,55663,1146.991,30,0.000538957655893502,38.2330333333333
29.2,55842,1153.467,30,0.000537230041903943,38.4489
29.3,55986,1157.922,30,0.00053584824777623,38.5974
29.4,56164,1163.822,30,0.000534149989317,38.7940666666667
29.5,56298,1167.69,30,0.000532878610252584,38.923
29.6,56514,1173.422,30,0.00053084191527763,39.1140666666667
29.7,56688,1178.699,31,0.000546852949477844,38.0225483870968
29.8,56848,1183.57,31,0.000545313819307627,38.1796774193548
29.9,57028,1188.647,31,0.000543592621168549,38.3434516129032
30,57167,1193.657,31,0.000542270890548743,38.505064516129
30.1,57361,1199.95,31,0.000540436882202193,38.708064516129
30.2,57589,1207.575,31,0.000538297244265398,38.9540322580645
30.3,57807,1216.142,31,0.000536267234071998,39.2303870967742
30.4,58026,1222.695,31,0.00053424327025816,39.4417741935484
30.5,58162,1228.117,31,0.000532994051098655,39.6166774193548
30.6,58335,1233.747,31,0.000531413388188909,39.7982903225806
30.7,58553,1239.603,31,0.000529434870971598,39.9871935483871
30.8,58698,1244.833,31,0.000528127023067225,40.1559032258065
30.9,59215,1260.356,31,0.000523516001013257,40.6566451612903
31,59389,1266.823,31,0.000521982185253161,40.8652580645161
31.1,59623,1273.961,31,0.000519933582677826,41.0955161290323
31.2,59869,1281.42,31,0.000517797190532663,41.3361290322581
31.3,60021,1287.429,31,0.000516485896602856,41.5299677419355
31.4,60145,1292.324,31,0.000515421065757752,41.6878709677419
31.5,60281,1296.799,31,0.00051425822398434,41.8322258064516
31.6,60436,1301.575,31,0.000512939307697399,41.9862903225806
31.7,60601,1306.896,31,0.000511542713816604,42.157935483871
31.8,60786,1313.003,31,0.000509985852005396,42.354935483871
31.9,60932,1317.576,31,0.000508763867918335,42.5024516129032
32,61044,1321.467,31,0.00050783041740384,42.6279677419355
