,Values,Impressions,Spend,Clicks,CTR,CPM,CPC
95,96,105736,3660.551,54,0.0511,0.03,67.79
96,97,106858,3726.531,46,0.043,0.03,81.01
97,98,107842,3801.205,49,0.0454,0.04,77.58
98,99,109359,3888.632,51,0.0466,0.04,76.25
99,100,110189,3938.453,54,0.049,0.04,72.93
100,101,111272,4009.129,52,0.0467,0.04,77.1
101,102,112441,4082.267,49,0.0436,0.04,83.31
102,103,113393,4142.746,59,0.052,0.04,70.22
103,104,114909,4231.422,51,0.0444,0.04,82.97
104,105,115762,4299.596,59,0.051,0.04,72.87
105,106,117007,4382.045,64,0.0547,0.04,68.47
106,107,117456,4410.933,52,0.0443,0.04,84.83
107,108,118906,4499.32,59,0.0496,0.04,76.26
108,109,119724,4561.593,61,0.051,0.04,74.78
109,110,121028,4643.457,61,0.0504,0.04,76.12
110,111,122015,4705.451,54,0.0443,0.04,87.14
111,112,122901,4756.681,58,0.0472,0.04,82.01
112,113,124091,4840.071,60,0.0484,0.04,80.67
113,114,124825,4897.376,61,0.0489,0.04,80.28
